zone	scale
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0.25
15	0.25
16	0.5
17	0.75
18	1
19	0.25
20	0.25
21	0.25
22	0
23	0.25
24	0.5
25	0.25
26	0
27	0
28	0
29	0
30	0.5
31	0
32	0
33	0
34	0
35	0
36	0
37	0.25
38	0.5
39	0.5
40	0.25
41	0.25
42	0
43	0.5
44	1
45	0.25
46	1
47	0.75
48	0.5
49	0.5
50	0.25
51	0.5
52	0.75
53	0.75
54	0.25
55	0
56	0
57	0
58	0.25
59	0
60	0.25
