"zone" "name" "i" "j" "lat" "lon" "Traceur_1" "Traceur_2" "Traceur_3" "Traceur_4" "Traceur_5" "Traceur_6" "Traceur_7" "Traceur_8" "Traceur_9" "Traceur_10" "Traceur_11" "Traceur_12" "Traceur_13" "Traceur_14" "Traceur_15" "Traceur_16" "Traceur_17" "Traceur_18" "Traceur_19" "Traceur_20" "Traceur_21" "Traceur_22" "Traceur_23" "Traceur_24" "Traceur_25" "Traceur_26" "Traceur_27" "Traceur_28" "Traceur_29" "Traceur_30" "Traceur_31" "Traceur_32" "Traceur_33" "Traceur_34" "Traceur_35" "Traceur_36" "Traceur_37" "Traceur_38" "Traceur_39" "Traceur_40" "Traceur_41" "Traceur_42" "Traceur_43" "Traceur_44" "Traceur_45" "Traceur_46" "Traceur_47" "Traceur_48" "Traceur_49" "Traceur_50" "Traceur_51" "Traceur_52" "Traceur_53" "Traceur_54" "Traceur_55" "Traceur_56" "Traceur_57" "Traceur_58" "Traceur_59" "Traceur_60"
"1" "1" "Traceur_1" 580 407 50.1157556270096 1.38414634146341 327738.507169289 262156.586203312 11500.1728657647 0 0 0 0 1.82133494194364e-13 0 0 0 0 3.81304255448416e-15 1.02783805634693e-13 6.92335897575254e-14 0 0 0 0 0 0 0 2.37169747700231e-15 9.66088268003186e-16 3.70098474821886e-16 0 7.26779431951069e-20 1.49921071915728e-19 1.02309744253062e-20 3.87707144261605e-22 2.33244787190359e-21 1.13087961051217e-21 2.09475998836482e-26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" "1" "Traceur_1" 581 407 50.1157556270096 1.41768292682927 268921.974724233 191394.945959283 6443.36367003368 0 0 0 0 8.34718649091789e-14 0 0 0 0 0 7.47536322170554e-14 4.4158191950084e-14 0 0 0 0 0 0 0 1.44202537207777e-15 5.96311471096449e-16 2.04073765981311e-16 0 3.87215685348104e-20 8.05341610371273e-20 5.27258889356379e-21 1.88931309809455e-22 1.15515572541018e-21 5.49941883366462e-22 9.39592501435439e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" "1" "Traceur_1" 581 408 50.1382636655949 1.41768292682927 313580.674578211 215100.695652207 7666.36514944335 0 0 0 0 7.28941894575158e-14 0 0 0 0 9.93483907378887e-17 8.88811662716406e-14 4.86951442028823e-14 0 0 0 0 0 0 0 1.55494236213056e-15 6.48222670309579e-16 2.19324383198673e-16 0 4.1272496837246e-20 8.59463874954512e-20 5.59154418588995e-21 1.9904526409265e-22 1.21943439696861e-21 5.79370709285736e-22 9.81726411655998e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" "1" "Traceur_1" 581 409 50.1607717041801 1.41768292682927 387894.153423779 229059.673505642 7274.93926355484 0 0 0 0 5.31584886364257e-14 0 0 0 0 1.96650348105134e-16 9.95529315259123e-14 5.04559596145484e-14 0 0 0 0 0 0 0 1.56653070539858e-15 6.59079737064849e-16 2.18383640339413e-16 0 4.06654293223626e-20 8.48381784541432e-20 5.46841098570698e-21 1.92762610221289e-22 1.18449183312926e-21 5.6106046920141e-22 9.38857105674415e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" "1" "Traceur_1" 574 401 49.9807073954984 1.18292682926829 154867.878827455 392686.027890429 66924.3870321557 4593.23084885289 0.752328510256581 0 0 2.41203866111987e-12 0 0 0 0 2.17060571915766e-13 0 2.26913891890249e-13 2.33924048236019e-14 0 0 0 0 0 0 1.20291874030739e-14 4.31439212192807e-15 3.04088635884397e-15 0 7.75583902678664e-19 1.52286096562063e-18 1.26218579938671e-19 6.52338370730326e-21 3.6419071289142e-20 1.93670442399292e-20 5.33367927506063e-25 0 1.75340790108429e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" "1" "Traceur_1" 574 402 50.0032154340836 1.18292682926829 198686.466520995 469491.617797661 85479.1086347372 6667.69617721825 2.08683966981005 0.00067839800081576 9.41347733445136e-10 2.71481755921887e-12 0 0 0 4.05035780385215e-15 2.62325440842023e-13 0 2.77537062827341e-13 3.24180421048282e-14 0 0 0 0 0 0 1.41486397887257e-14 5.0407849627339e-15 3.63392698372709e-15 0 9.25283217427321e-19 1.81478001511074e-18 1.50637890590601e-19 7.85287735010653e-21 4.37689303121822e-20 2.3331458719372e-20 6.50590016780621e-25 0 2.95387858601871e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" "1" "Traceur_1" 575 402 50.0032154340836 1.21646341463414 195975.177227744 380522.998654395 50568.4355049625 2192.35162615274 0.0279892813301982 0 0 1.83226232816197e-12 0 0 0 0 1.58087720256256e-13 0 2.02205674577428e-13 1.18936267096295e-14 0 0 0 0 0 0 9.89755877671135e-15 3.57627179602963e-15 2.36463275202914e-15 0 5.79114929037053e-19 1.14472012675551e-18 9.30186205555079e-20 4.62094920920256e-21 2.60102738986877e-20 1.36834867986133e-20 3.59527839813542e-25 0 5.28989658871587e-26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" "1" "Traceur_1" 575 403 50.0257234726688 1.21646341463414 244444.06532756 453108.302595505 66334.9581237077 3934.87883534366 0.473282467835563 0 0 2.01271387200354e-12 0 0 0 0 1.85069720850196e-13 1.08236326758457e-14 2.41223483153566e-13 1.64845466281446e-14 0 0 0 0 0 0 1.14137681170735e-14 4.11606382438119e-15 2.74538739432921e-15 0 6.68733093259943e-19 1.32169763203213e-18 1.07318423124278e-19 5.34572154290066e-21 3.00749252448721e-20 1.58352394040142e-20 4.18197383271534e-25 0 8.32335958526237e-26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" "1" "Traceur_1" 576 403 50.0257234726688 1.25 250330.308321489 385655.383111422 42283.001316506 1263.68172677514 0 0 0 1.38091040801894e-12 0 0 0 0 1.08501259768957e-13 1.37129178553838e-14 1.82191359586039e-13 4.55846813817388e-15 0 0 0 0 0 0 8.24471510722366e-15 3.03099269534052e-15 1.83147228757236e-15 0 4.28813664669951e-19 8.54340224250887e-19 6.76266576823265e-20 3.20288669850591e-21 1.82164140404726e-20 9.45521893192418e-21 2.34462011433653e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" "1" "Traceur_1" 577 403 50.0257234726688 1.28353658536586 231121.54529346 302712.405790765 26676.27716407 396.95210906294 0 0 0 8.51510080440997e-13 0 0 0 0 5.23053485424215e-14 2.13389747969875e-14 1.26180121346643e-13 0 0 0 0 0 0 0 5.44324433989899e-15 2.0441225302937e-15 1.10677253422401e-15 0 2.48468432870971e-19 4.9933096205802e-19 3.83191005610386e-20 1.71525567759602e-21 9.88198171237964e-21 5.04454273005092e-21 1.16264203239197e-25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
