"zone" "name" "i" "j" "lat" "lon" "Traceur_1" "Traceur_2" "Traceur_3" "Traceur_4" "Traceur_5" "Traceur_6" "Traceur_7" "Traceur_8" "Traceur_9" "Traceur_10" "Traceur_11" "Traceur_12" "Traceur_13" "Traceur_14" "Traceur_15" "Traceur_16" "Traceur_17" "Traceur_18" "Traceur_19" "Traceur_20" "Traceur_21" "Traceur_22" "Traceur_23" "Traceur_24" "Traceur_25" "Traceur_26" "Traceur_27" "Traceur_28" "Traceur_29" "Traceur_30" "Traceur_31" "Traceur_32" "Traceur_33" "Traceur_34" "Traceur_35" "Traceur_36" "Traceur_37" "Traceur_38" "Traceur_39" "Traceur_40" "Traceur_41" "Traceur_42" "Traceur_43" "Traceur_44" "Traceur_45" "Traceur_46" "Traceur_47" "Traceur_48" "Traceur_49" "Traceur_50" "Traceur_51" "Traceur_52" "Traceur_53" "Traceur_54" "Traceur_55" "Traceur_56" "Traceur_57" "Traceur_58" "Traceur_59" "Traceur_60"
"1" "1" "Traceur_1" 580 407 50.1157556270096 1.38414634146341 766852.137905162 97157.6624213363 2.08303339029899 0.00896202828138791 7.93057468962049e-08 9.72336187600554e-12 1.0416420430033e-13 3.16141600640777e-15 0 0 0 0 0 0 2.90644899280789e-17 0 3.54236088099188e-18 0 0 0 0 0 0 4.32624040200909e-22 1.57083159966475e-24 3.99228291154731e-26 1.78966080303971e-28 5.01322417851677e-28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" "1" "Traceur_1" 581 407 50.1157556270096 1.41768292682927 565793.538373233 68440.1937502529 1.52112037440464 0.00466433662004354 4.57690591812274e-08 0 6.63829003555551e-14 1.96300423069434e-15 0 0 0 0 0 0 1.48837089498872e-17 0 1.82420675967561e-18 0 0 0 0 0 0 2.25027902417901e-22 8.42192851031729e-25 1.77438323731372e-26 6.86466565975009e-29 1.98173404802205e-28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" "1" "Traceur_1" 581 408 50.1382636655949 1.41768292682927 631093.886977583 68819.4764790788 1.55689458645573 0.00360652773347012 3.41514187018663e-08 0 6.57508742885129e-14 1.9204495777962e-15 0 0 0 0 0 0 1.38489059014917e-17 0 1.70856925763896e-18 0 0 0 0 0 0 2.1296761242089e-22 8.00903920913801e-25 1.61449628971919e-26 6.0126324037903e-29 1.74912358772588e-28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" "1" "Traceur_1" 581 409 50.1607717041801 1.41768292682927 667119.069053025 58993.4261154262 1.34277499869985 0.00195596383848957 1.7653438251047e-08 0 6.06269119391402e-14 1.73138173849026e-15 0 0 0 0 0 0 1.14967423223398e-17 0 1.43561462038131e-18 0 0 0 0 0 0 1.80974353695845e-22 6.84155755185655e-25 1.30124809029771e-26 4.59503056876018e-29 1.35095888904603e-28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" "1" "Traceur_1" 574 401 49.9807073954984 1.18292682926829 870796.719808874 253025.022875769 165.252658811853 0.787332234231725 4.36379065103587e-05 1.76721758922628e-06 1.34854415241585e-12 3.37995382566545e-14 0 0 0 0 4.47592589760516e-16 1.17646449791938e-15 7.9464225091146e-16 1.55976706959175e-16 1.04972258917152e-16 0 0 0 0 0 0 5.9518294566096e-21 1.22223694966088e-26 3.83314921333233e-24 3.86366012267927e-26 9.05525492785035e-26 7.98442449310825e-29 1.18573479852673e-29 1.09008973067546e-28 1.64985807065332e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" "1" "Traceur_1" 574 402 50.0032154340836 1.18292682926829 1121595.77563129 297111.235681002 128.656067704169 0.639009943751319 2.3040719449323e-05 8.28504726242038e-07 1.25908189983418e-12 3.36251140591669e-14 0 0 0 0 4.00974171846506e-16 1.18855247018441e-15 8.00081222869801e-16 1.53463778352664e-16 1.05143451460883e-16 0 0 0 0 0 0 6.38638779790774e-21 8.11379822348418e-25 3.7365046618768e-24 3.71676212634653e-26 8.73563576697313e-26 7.54750027914436e-29 1.12579001941911e-29 1.03676608535017e-28 1.56777112227007e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" "1" "Traceur_1" 575 402 50.0032154340836 1.21646341463414 969608.433420912 237831.021149228 52.6288173446085 0.449270980600286 1.42360158343943e-05 4.75664005271302e-07 8.39502450867041e-13 2.2995015299874e-14 0 0 0 0 2.21328514455133e-16 6.38117906231742e-16 5.03770555519853e-16 7.86403315913184e-17 6.52874216606653e-17 0 0 0 0 0 0 4.93226382633964e-21 1.61529874699058e-24 1.99600974711896e-24 1.83365751429855e-26 4.39428010293923e-26 3.20817710122646e-29 4.98451977837883e-30 4.66071900368335e-29 6.99427737001767e-30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" "1" "Traceur_1" 575 403 50.0257234726688 1.21646341463414 1201540.69280257 273994.420204941 48.9483639892041 0.347951890546352 6.90936022687506e-06 2.35788984562557e-07 7.90511289842331e-13 2.29605487967633e-14 0 0 0 0 1.80956684286573e-16 5.97212830820247e-16 4.96194793737808e-16 7.19841549065689e-17 6.39087827482744e-17 0 0 0 0 0 0 5.14874831566873e-21 1.97107217878697e-24 1.86246355717425e-24 1.66647271194779e-26 4.01739640230199e-26 2.79032882626271e-29 4.14970755406212e-30 4.12446177524713e-29 6.17749059495801e-30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" "1" "Traceur_1" 576 403 50.0257234726688 1.25 1085079.11061541 227753.107335054 17.7802078377314 0.220262069849133 3.36016770404226e-06 1.01169521616431e-07 5.51294987992925e-13 1.63274852061005e-14 0 0 0 0 8.45143201091558e-17 2.77776026624349e-16 3.16922629886538e-16 3.15698144684674e-17 4.02392651382269e-17 0 0 0 0 0 0 3.71627117995244e-21 2.43026125624285e-24 9.98761465769196e-25 8.14526284734885e-27 2.00681997299583e-26 1.1409531771021e-29 1.79275680192903e-30 1.81824248606275e-29 2.540412618717e-30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" "1" "Traceur_1" 577 403 50.0257234726688 1.28353658536586 881591.930408669 174787.924907384 7.40677677777021 0.125772391531798 1.40166406827404e-06 3.28278035449809e-08 3.61497975293099e-13 1.08598665570741e-14 0 0 0 0 2.81134221657894e-17 9.31694800471992e-17 1.8661823944684e-16 9.82454040023412e-18 2.33619554629893e-17 0 0 0 0 0 0 2.37983498337936e-21 4.16364604677228e-24 4.89973509100098e-25 3.5945539771433e-27 9.07347834426241e-27 3.87228377707639e-30 1.04343811551445e-31 7.15835999555337e-30 9.8658282128648e-31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" "1" "Traceur_1" 577 404 50.048231511254 1.28353658536586 1044115.69271229 197061.300826378 8.36189180637852 0.110468463947951 8.92160548078361e-07 1.92725628405915e-08 3.59550313890359e-13 1.11099091307903e-14 0 0 0 0 2.02148290259402e-17 8.78689576346952e-17 1.89258897021897e-16 9.59044748724118e-18 2.36505647820401e-17 0 0 0 0 0 0 2.4424868245797e-21 4.49285289587337e-24 4.89923709892196e-25 3.56477901432018e-27 9.01145134023016e-27 3.8366463017182e-30 3.09416315124272e-31 7.05950782274558e-30 7.26730432929572e-31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" "1" "Traceur_1" 578 404 50.048231511254 1.31707317073171 958278.82664551 171551.910072383 3.72094482563448 0.0731243464960032 5.55545725294841e-07 6.59506000625393e-09 2.73824505682305e-13 8.46100367100234e-15 0 0 0 0 1.86078016130301e-18 1.04989633052154e-17 1.26178762659315e-16 6.99133383605249e-19 1.55914912901383e-17 0 0 0 0 0 0 1.7070216410791e-21 4.46776354296434e-24 2.77019568162653e-25 1.81647723543426e-27 4.6988174537657e-27 1.56995870844189e-30 0 3.03833114468673e-30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" "1" "Traceur_1" 578 405 50.0707395498392 1.31707317073171 914179.242664507 153700.066839119 3.19231037236244 0.0496776772993965 3.07744532097266e-07 2.73974561186176e-09 2.22076608891377e-13 6.95230360746993e-15 0 0 0 0 0 4.74037150297853e-18 9.90829399928266e-17 3.4408850719199e-19 1.22027515492408e-17 0 0 0 0 0 0 1.36580881817401e-21 3.8394340619847e-24 2.06276958179157e-25 1.30341151563179e-27 3.3980137858921e-27 7.9508511798995e-31 0 2.11078430011611e-30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" "1" "Traceur_1" 579 405 50.0707395498392 1.35060975609756 847856.662168265 135914.755001044 2.36763517181012 0.0331435466929737 2.3970688367779e-07 9.11566040046473e-10 1.74231589505987e-13 5.4051232457928e-15 0 0 0 0 0 0 6.62840443930512e-17 0 8.09780285045711e-18 0 0 0 0 0 0 9.39077117868114e-22 3.03358649833117e-24 1.17687056076366e-25 6.63095409429038e-28 1.77162862942029e-27 0 0 7.56318264605642e-31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" "1" "Traceur_1" 579 406 50.0932475884244 1.35060975609756 867302.740448482 128053.976676464 2.42821747589463 0.0229289799890783 1.62218449287009e-07 3.49858688552009e-10 1.55769398751411e-13 4.84462920029242e-15 0 0 0 0 0 0 5.60786615905916e-17 0 6.84039070085566e-18 0 0 0 0 0 0 8.07632704258276e-22 2.70577890992383e-24 9.40460614123759e-26 5.05087418365542e-28 1.36289170062327e-27 0 0 3.29690917201689e-31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" "1" "Traceur_1" 580 406 50.0932475884244 1.38414634146341 710530.567713161 99528.6493975669 1.98247599031873 0.013016168640737 1.11268763187489e-07 6.19140791571245e-11 1.09295089889944e-13 3.33856692728355e-15 0 0 0 0 0 0 3.25963092538704e-17 0 3.96440042592464e-18 0 0 0 0 0 0 4.77603896153781e-22 1.70686358482214e-24 4.68909667493048e-26 2.21035758268614e-28 6.12865073986793e-28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" "2" "Traceur_2" 562 397 49.8906752411576 0.780487804878049 245918.026403723 561542.192452368 43826.5842259691 2849.75316463529 4.84240957336039 0.394198047459605 1.43262269224887e-08 1.02887521248542e-12 0 0 0 2.1781285185888e-14 9.13457889000604e-15 3.6940314434402e-14 2.29064913238836e-14 1.02118911574972e-14 3.80039564024655e-15 0 0 0 0 0 0 0 0 1.15948732376922e-21 2.4541892112951e-23 4.64255517566044e-23 1.97444050618801e-25 2.62193850634244e-26 1.96890948138444e-25 3.50744449997965e-26 3.48116191400053e-30 0 1.64775990315371e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"18" "2" "Traceur_2" 563 397 49.8906752411576 0.814024390243901 229182.708529255 462516.604571234 25730.7258069157 1303.9873354092 2.40721024984186 0.198817735216969 7.45780096607059e-09 6.77888764719045e-13 0 0 0 9.41039845519552e-15 7.57993441928262e-15 2.65841835523998e-14 1.5898609666133e-14 6.93601055516669e-15 2.58480641561666e-15 0 0 0 0 0 0 0 0 6.51747079092198e-22 1.31022471365884e-23 2.52228765206641e-23 9.50243028381489e-26 1.2527858512626e-26 9.6077855334086e-26 1.67707270942213e-26 1.31267886525436e-30 0 7.42029257407251e-30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19" "2" "Traceur_2" 564 397 49.8906752411576 0.847560975609756 252180.826623637 447695.268950396 17912.4380709306 710.197565273419 1.61174372334147 0.132568048134025 4.96266021893716e-09 5.5525728766507e-13 0 0 0 3.95380708783684e-15 7.1738277550974e-15 2.26605200572983e-14 1.33170071174014e-14 5.66983940728065e-15 2.12917799892246e-15 0 0 0 0 0 0 0 0 4.56198102538772e-22 8.76336395544757e-24 1.71275197971552e-23 5.80460588677873e-26 7.62020792660495e-27 5.94733344892354e-26 1.02106840225799e-26 0 0 4.28755108953765e-30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20" "2" "Traceur_2" 564 398 49.9131832797428 0.847560975609756 333521.312497619 526821.894484784 19023.3261425249 624.97817765028 1.19703725362549 0.0989885075268522 3.64820808439705e-09 5.49585883166522e-13 0 0 0 3.90602006523737e-15 7.70588029914114e-15 2.58639394307713e-14 1.43923382004175e-14 6.11016138078607e-15 2.28573680564247e-15 0 0 0 0 0 0 0 0 4.88330180908898e-22 9.43641987708588e-24 1.83941203036655e-23 6.3951447193632e-26 8.41100989208538e-27 6.52938614353079e-26 1.12683462248503e-26 5.4497786147537e-31 0 4.49651279143987e-30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" "2" "Traceur_2" 565 398 49.9131832797428 0.881097560975608 328169.274298296 435135.034163236 10695.1738746335 232.293157293258 0.650650257588725 0.0529571736926015 1.93750218301972e-09 3.81247845873704e-13 0 0 0 9.68437996440657e-16 5.99105220425577e-15 1.81616478960127e-14 1.0026275829841e-14 4.09939981877591e-15 1.56163078542616e-15 0 0 0 0 0 0 0 0 2.75851717815325e-22 5.04929100427779e-24 1.0016934286225e-23 3.0798267978802e-26 4.03851419657812e-27 3.19673748150742e-26 5.41804824413446e-27 0 0 1.87288396915995e-30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" "2" "Traceur_2" 566 398 49.9131832797428 0.914634146341463 288276.912372588 320145.473281739 5516.15727757528 83.0228446449866 0.268322284399182 0.0215497737491306 7.79470615400056e-10 2.37768144830308e-13 0 0 0 0 4.08514420553055e-15 1.13126153446561e-14 6.24138091772697e-15 2.43357130281816e-15 9.52550563680714e-16 0 0 0 0 0 0 0 0 1.37534487983617e-22 2.36955592821781e-24 4.7917460077032e-24 1.28620502581898e-26 1.68589820660313e-27 1.36212586035923e-26 2.26638503771622e-27 0 0 4.06830212769561e-31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"23" "2" "Traceur_2" 567 398 49.9131832797428 0.948170731707318 315664.576759497 297718.536877974 3632.48726109919 36.2306150794425 0.106999913969945 0.00837801314708099 2.98864246443461e-10 1.89499621237552e-13 0 0 0 0 3.45703883826448e-15 8.95042124437393e-15 4.95596045015174e-15 1.83479641597307e-15 7.42207690101123e-16 0 0 0 0 0 0 0 0 8.89432008937924e-23 1.44517705343683e-24 2.97550594124489e-24 7.02344866579391e-27 9.23007405016666e-28 7.59525159932902e-27 1.2437838787237e-27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" "2" "Traceur_2" 568 398 49.9131832797428 0.98170731707317 383079.399944147 310681.683986424 2616.84923295527 14.7672730990735 0.0290069963681353 0.00214762657970111 7.61964012488377e-11 1.69252086139167e-13 0 0 0 0 3.20634855019524e-15 7.8717703455568e-15 4.39612256149215e-15 1.53506586049278e-15 6.46413991327719e-16 0 0 0 0 0 0 0 0 6.47403982400549e-23 9.91899418847117e-25 2.07814838876192e-24 4.33104214836282e-27 5.723691160003e-28 4.78820174927914e-27 7.7341378632717e-28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" "2" "Traceur_2" 569 398 49.9131832797428 1.01524390243902 342595.097558598 250093.936265618 1537.18352914782 6.66503159309432 0.00427784286344684 0.000253762657436926 9.6161761325363e-12 1.19821597938495e-13 0 0 0 0 2.2903037670746e-15 5.26796798645737e-15 3.02600850673817e-15 9.90361084748162e-16 4.37873832841445e-16 0 0 0 0 0 0 0 0 3.69685705689225e-23 5.33207457831051e-25 1.13699114445581e-24 2.08202852557106e-27 2.77539755318099e-28 2.36027233152399e-27 3.76262083747019e-28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
